data_edicao,numero_edicao,evento_id,titulo,pagina,municipio,tipo_camada,dimensao_analitica,codigo_variavel,nivel_criticidade,localidade,relevancia,tipo_relacao_variavel,papel_no_ciclo,entra_ipst,id_caso_pressao,descricao_evento,nota_analista,fonte_arquivo,observacao,status_validacao
2026-06-30,9.794,E01,Centro Integrado da Mulher de Sumaré ganha reforma para ampliar conforto às pacientes e equipe,3,,CONTEXTO,capital_humano,SAUDE_MULHER / CH_01,baixa,nao_identificado,media,indireta,benchmark_regional,avaliar,,Centro Integrado da Mulher de Sumaré ganha reforma para ampliar conforto às pacientes e equipe,"Benchmark de equipamento público de saúde da mulher, com mastologia, ginecologia, obstetrícia, nutrição e fisioterapia pélvica.",TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E02,Prefeitura de Hortolândia autoriza obra da sede própria do Caps IJ,5,,GOVERNANCA,capital_humano,SAUDE_MENTAL_INFANTOJUVENIL / CH_01,media,Avenida Santana / Golden Park (codigo a confirmar),alta,direta,resposta,avaliar,,Prefeitura de Hortolândia autoriza obra da sede própria do Caps IJ,"Investimento de R$ 4.688.939,67 em equipamento de saúde mental infantojuvenil; forte conexão com Saúde e proteção social.",TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E03,Guardas municipais de Hortolândia finalizam curso de agente de trânsito,5,,GOVERNANCA,infraestrutura_urbana,MOBILIDADE / SEGURANCA_VIARIA,baixa,nao_identificado,media,direta,resposta,nao,,Guardas municipais de Hortolândia finalizam curso de agente de trânsito,"Capacitação operacional de 20 guardas como agentes de trânsito; útil para gestão urbana, mas periférico ao IVS-H.",TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E04,Paulínia aprova Semana de Conscientização sobre Transtorno do Desenvolvimento da Linguagem,6,,CONTEXTO,capital_humano,CH_INCLUSAO / SAUDE_EDUCACAO,baixa,nao_identificado,baixa,indireta,benchmark_regional,nao,,Paulínia aprova Semana de Conscientização sobre Transtorno do Desenvolvimento da Linguagem,Benchmark legislativo de inclusão e saúde/educação; baixa aderência territorial ao Atlas de Hortolândia.,TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E05,Polícia investiga ataque contra greve na Replan com dois feridos,6,,PRESSAO_SOCIAL,renda_trabalho,SMIDS_EXT / CONFLITO_TRABALHISTA,media,Paulínia / Replan,media,direta,pressao,avaliar,RT_CONFLITO_TRABALHISTA_REPLAN_2026,Polícia investiga ataque contra greve na Replan com dois feridos,"Pressão regional de conflito trabalhista; pode afetar leitura de renda/trabalho, mas sem recorte de vulnerabilidade de Hortolândia.",TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E06,Monte Mor amplia frota municipal com veículos e equipamentos para serviços públicos,7,,CONTEXTO,contexto_sociopolitico,GOV_MUNICIPAL,baixa,nao_identificado,baixa,indireta,benchmark_regional,nao,,Monte Mor amplia frota municipal com veículos e equipamentos para serviços públicos,Modernização administrativa regional; relevância baixa para o corpus principal.,TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E07,Ibis anuncia hotel de R$ 39 milhões no Shopping ParkCity Sumaré,8,,CONTEXTO,renda_trabalho,RT_02 / INVESTIMENTO_PRIVADO,baixa,nao_identificado,media,indireta,contexto_regional,nao,,Ibis anuncia hotel de R$ 39 milhões no Shopping ParkCity Sumaré,Investimento privado com 80 empregos na obra e 30 permanentes; benchmark econômico regional.,TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E08,Homem é preso suspeito de estuprar e manter filha de 13 anos em cárcere privado em Hortolândia,9,,PRESSAO_SOCIAL,capital_humano,CH_VIOLENCIA_GENERO_INFANTOJUVENIL,alta,Jardim Primavera (codigo a confirmar),alta,direta,emergencia,sim,CH_VIOLENCIA_INFANTOJUVENIL_JD_PRIMAVERA_2026,Homem é preso suspeito de estuprar e manter filha de 13 anos em cárcere privado em Hortolândia,"Violência sexual intrafamiliar contra adolescente; evento crítico para proteção social, saúde, Conselho Tutelar e rede de garantia de direitos.",TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E09,"Suspeito tenta fugir e é detido por tráfico de drogas no Jardim Amanda, em Hortolândia",9,,PRESSAO_SOCIAL,capital_humano,SMIDS_EXT / SEGURANCA_PUBLICA,media,351 (Jardim Amanda),media,direta,pressao,sim,CH_SEGURANCA_JD_AMANDA_2026,"Suspeito tenta fugir e é detido por tráfico de drogas no Jardim Amanda, em Hortolândia","Nova ocorrência no Jardim Amanda, reforçando sequência territorial de pressão social observada no corpus.",TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
2026-06-30,9.794,E10,Hortolândia receberá Selos Ouro e Inovação do Facilita SP por simplificar abertura de empresas,10,,GOVERNANCA,renda_trabalho,GOV_MUNICIPAL / DESBUROCRATIZACAO,baixa,municipio,alta,direta,resposta,avaliar,,Hortolândia receberá Selos Ouro e Inovação do Facilita SP por simplificar abertura de empresas,"Evento estratégico para Desenvolvimento Econômico: desburocratização, CNPJ como inscrição municipal, licenciamento integrado e ambiente de negócios.",TRIBUNA LIBERAL 30-06-26.pdf,,normalizado_v10_5
