d.nom_localidade_fam;n_prior
JARDIM AMANDA;136
JARDIM BOA ESPERANCA;25
JARDIM SANTA CLARA DO LAGO;22
JARDIM NOVA EUROPA;20
JARDIM NOVA HORTOLANDIA;19
PARQUE DO HORTO;18
REMANSO CAMPINEIRO;18
VILA REAL;16
JARDIM NOVO ANGULO;16
JARDIM SAO BENTO;16
JARDIM SUMAREZINHO;16
JARDIM SAO JORGE;16
VILA REAL CONTINUACAO;15
JARDIM NOSSA SENHORA DE FATIMA;15
JARDIM ADELAIDE;13
JARDIM SAO SEBASTIAO;12
NOVO ANGULO;12
JARDIM MINDA;11
PARQUE DOS PINHEIROS;11
JARDIM NOSSA SENHORA AUXILIADORA;11
JARDIM CAMPOS VERDES;11
JARDIM ALINE;10
JARDIM SANTA IZABEL;9
JARDIM NOVA AMERICA;8
JARDIM PRIMAVERA;8
JARDIM SANTA ESMERALDA;8
VILA GUEDES;8
VILA SAO PEDRO;7
PARQUE GABRIEL;7
JARDIM EVEREST;7
JARDIM BRASIL;7
JARDIM SANTA RITA DE CASSIA;7
JARDIM AUXILIADORA;7
JARDIM ROSOLEN;7
JARDIM CONCEICAO;7
PARQUE MARIA DE LOURDES;6
PARQUE ORESTES ONGARO;6
JARDIM NOVO CAMBUI;6
VILA INEMA;6
VILA DA CONQUISTA;6
JARDIM SANTANA;5
PARQUE ORTOLANDIA;5
CHACARA FAZENDA COELHO;5
JARDIM NOVO HORIZONTE;5
JARDIM SANTIAGO;5
JARDIM CARMEM CRISTINA;5
JARDIM MIRANTE DE SUMARE;5
RECANTO DO SOL;5
JARDIM AMANDA 1;4
JARDIM SAO CAMILO;4
RESIDENCIAL RECANTO DO SOL;4
PARQUE PERON;4
JARDIM AMANDA II;4
JARDIM NOVO ESTRELA;4
NOVA HORTOLANDIA;3
PARQUE HORTOLANDIA;3
VILA REAL SANTISTA;3
PARQUE RESIDENCIAL MARIA DE LOURDES;3
NUCLEO SANTA IZABEL;3
JD AMANDA;3
NOVA AMERICA;3
JARDIM SAO BENEDITO;3
JARDIM TERRAS DE SANTO ANTONIO;3
PARQUE TERRAS DE SANTA MARIA;3
RESIDENCIAL JOAO LUIZ;3
RESIDENCIAL ANAUA;3
JARDIM SAO PEDRO;3
JARDIM SANTA FE;3
JARDIM DO BOSQUE;3
JARDIM AMANDA 2;3
JARDIM INTERLAGOS;3
JARDIM ROSOLEM;3
JARDIM MALTA;3
JARDIM GHIRALDELLI;3
JARDIM RESIDENCIAL FIRENZE;3
JARDIM BOA VISTA;3
JARDIM NOVA ALVORADA;3
JARDIM DO LAGO;3
NUCLEO RESIDENCIAL FURLAN;2
MONTE SINAI;2
NOVA EUROPA;2
JARDIM ESTEFANIA;2
ADVENTISTA CAMPINEIRO;2
ORESTES ONGARO;2
JARDIM SANTA CLARA DO LAGO I;2
JARDIM DAS LARANJEIRAS;2
PARQUE ODIMAR;2
PARQUE ORESTE ONGARO;2
JARDIM CARMEN CRISTINA;2
JARDIM AMANDA I;2
LOTEAMENTO RECANTO DO SOL;2
PARQUE SAO MIGUEL;2
SAO SEBASTIAO;2
JARDIM SANTA CLARA DO LAGO II;2
JARDIM SANTA EMILIA;2
VILA SAO FRANCISCO;2
JARDIM MONTE SINAI;2
BOA ESPERANCA;2
JARDIM NOVA ESTRELA;2
CHACARA LUZITANA;2
SANTO ANDRE;1
VILA REAL CONTINUAO;1
JARDIM BOA ESPERANA;1
REMANSO;1
FURLAN;1
CAMPOS VERDES;1
CHACARAS ASSAY;1
RESIDENCIAU ANAUA;1
CHACARA NOVA BOA VISTA;1
SANTA RITA DE CASSIA;1
CHACARA RECREIO 2000;1
VILA ILEMA;1
SANTA AMELIA;1
SANTA EMILIA;1
CHACARA RECREIO ALVORADA;1
CHACARA REYMAR;1
VILA AMERICA;1
TERRAS DE SANTO ANTONIO;1
SUMAREZINHO;1
SANTA ESMERALDA;1
JARDIM SANTA CANDIDA;1
PARQUE SANTO ANDRE;1
JARDIM CAMOPS VERDES;1
JARDIM SANTA AMELIA;1
JARDIM SANTA RITA;1
JARDIM RICARDO;1
JARDIM PRIMAVIRA;1
JARDIM NOVO ESTRELA II;1
JARDIM NOVA NOVA HORTOLANDIA;1
JARDIM SAO FELIPE;1
JARDIM MIRANTE;1
JARDIM LIRIO;1
JARDIM VILLAGIO;1
JARDIM VILLAGIO GHIRALDELLI;1
JARDM SAO BENTO;1
JARDIM LARANJEIRAS;1
JD INTERLAGOS;1
LOTEAMENTO ADVENTISTA CAMPINEIRO;1
LOTEAMENTO NOVO ANGULO;1
NOVO CAMBUI;1
NUC RES FURLAN;1
JARDIM DAS FIGUEIRAS I;1
JARDIM DAS FIGUEIRAS 2;1
JARDIM DAS FIGUEIRAS;1
JARDIM CAMPOS VERDE;1
PARQUE RESIDENCIAL JOAO LUIZ;1
JARDIM DAS PAINEIRAS;1
