d.nom_localidade_fam;pessoas;familias
JARDIM AMANDA;352;342
JARDIM NOVA EUROPA;186;167
REMANSO CAMPINEIRO;125;120
JARDIM NOVO ANGULO;116;110
JARDIM BOA ESPERANCA;88;84
JARDIM NOVA HORTOLANDIA;80;77
JARDIM NOVA AMERICA;76;75
JARDIM CONCEICAO;75;71
JARDIM SANTIAGO;65;59
JARDIM NOSSA SENHORA DE FATIMA;64;62
JARDIM SANTA CLARA DO LAGO;62;60
JARDIM CAMPOS VERDES;58;55
VILA REAL CONTINUACAO;57;54
JARDIM NOSSA SENHORA AUXILIADORA;56;54
JARDIM SAO SEBASTIAO;54;54
PARQUE DO HORTO;52;49
JARDIM ADELAIDE;51;50
JARDIM SANTA ESMERALDA;49;48
JARDIM SUMAREZINHO;47;44
JARDIM MONTE SINAI;45;39
JARDIM BRASIL;43;41
JARDIM AMANDA II;43;41
NOVO ANGULO;42;41
JARDIM PRIMAVERA;39;39
VILA REAL;39;39
JARDIM MINDA;39;39
JARDIM SAO BENTO;38;38
JARDIM SAO JORGE;35;34
JARDIM AMANDA 2;35;35
JARDIM ALINE;32;32
VILA SAO PEDRO;30;29
JARDIM AMANDA I;29;29
PARQUE ORTOLANDIA;28;28
JARDIM INTERLAGOS;28;27
PARQUE DOS PINHEIROS;27;25
VILA INEMA;26;25
JARDIM SANTA IZABEL;25;24
VILA GUEDES;23;22
JARDIM SANTA RITA DE CASSIA;23;23
JARDIM AMANDA 1;23;22
PARQUE ORESTE ONGARO;21;19
JARDIM EVEREST;21;21
JARDIM TERRAS DE SANTO ANTONIO;21;20
JARDIM SANTANA;19;19
PARQUE ORESTES ONGARO;19;19
VILA DA CONQUISTA;19;19
JARDIM SANTA FE;18;18
SANTA EMILIA;17;16
PARQUE PERON;17;17
JARDIM DO BOSQUE;16;16
PARQUE GABRIEL;16;14
PARQUE SANTO ANDRE;15;13
JARDIM NOVO HORIZONTE;15;15
JARDIM NOVO ESTRELA;14;13
NOVA HORTOLANDIA;14;13
ADVENTISTA CAMPINEIRO;12;12
JARDIM MIRANTE DE SUMARE;12;12
JARDIM MALTA;12;12
JARDIM CARMEM CRISTINA;11;11
JARDIM DAS FLORES;11;8
RESIDENCIAL JOAO LUIZ;11;11
RECANTO DO SOL;11;11
JARDIM RICARDO;10;10
JARDIM DO LAGO;10;10
RESIDENCIAL RECANTO DO SOL;10;10
JARDIM AUXILIADORA;10;10
JARDIM ESTEFANIA;9;9
JARDIM SANTA LUZIA;9;8
JARDIM SANTA AMELIA;9;8
JARDIM SAO CAMILO;9;9
PARQUE RESIDENCIAL MARIA DE LOURDES;8;7
VILA SAO FRANCISCO;8;8
PARQUE HORTOLANDIA;8;8
LOTEAMENTO RECANTO DO SOL;8;8
NUCLEO SANTA IZABEL;8;8
JARDIM BOA VISTA;7;7
JARDIM SANTA CLARA DO LAGO I;7;7
JARDIM VILLAGIO GHIRALDELLI;7;7
JARDIM ROSOLEM;7;7
JARDIM NOVO CAMBUI;7;7
PARQUE SAO MIGUEL;7;7
JARDIM RESIDENCIAL VECCON BURITI;6;4
CHACARA REYMAR;6;6
PARQUE TERRAS DE SANTA MARIA;6;6
LOTEAMENTO ADVENTISTA CAMPINEIRO;6;6
RESIDENCIAL ANAUA;6;6
JARDIM DAS FIGUEIRAS II;6;6
JARDIM SAO PEDRO;6;6
CHACARA RECREIO ALVORADA;6;6
JARDIM ROSOLEN;5;5
CHACARAS LUZITANA;5;5
MONTE SINAI;5;5
VILA REAL SANTISTA;5;5
JARDIM NOSSA SENHORA DA PENHA;5;5
JARDIM DAS COLINAS;5;5
JARDIM CARMEN CRISTINA;5;5
NOVA AMERICA;5;5
JARDIM SANTA CLARA DO LAGO II;5;5
CHACARAS FAZENDO COELHO;4;4
JARDIM NOVA ALVORADA;4;4
CHACARAS FAZENDA COELHO;4;4
CHACARA FAZENDA COELHO;4;4
JARDIM RESIDENCIAL FIRENZE;4;4
NOVA EUROPA;4;3
CHACARA ASSAY;4;4
RESIDENCIAL FURLAN;4;3
JARDIM DAS LARANJEIRAS;4;4
JARDIM SANTO ANTONIO;4;4
PARQUE ODIMAR;4;4
JARDIM GHIRALDELLI;4;4
JARDIM SANTA EMILIA;4;4
CHACARA LUZITANA;3;3
JARDIM NOSSA SENHORA DE LOURDES;3;3
CHACARA NOVA BOA VISTA;3;3
CHACARA PLANALTO;3;3
CHACARAS ASSAY;3;3
JARDIM NOVO ESTRELA II;3;3
VILA CONQUISTA;3;3
LOTEAMENTO REMANSO CAMPINEIRO;3;3
JARDIM DAS PAINEIRAS;3;3
RESIDENCIAL RECANTO DE SOL;3;3
NUCLEO RESIDENCIAL FURLAN;2;1
PARQUE PINHEIROS;2;2
LOTEAMENTO NOVA ALVORADA;2;2
PARQUE MARIA DE LOURDES;2;2
JARDIM SO CAMILO;2;1
JARDIM SANTA CANDIDA;2;2
JARDIM SANTO ANDRE;2;2
JARDIM MIRANTE;2;2
CHACARA ACARAI;2;2
VILA AMERICA;2;2
TAQUARA BRANCA;2;1
CONDOMINIO CHACARA GROTA AZUL;2;2
SUMAREZINHO;2;1
JARDIM AMNADA I;2;2
SANTA CLARA DO LAGO;2;2
RESIDENCIAL VECCON BURITI;2;2
JARDIM GIRASSOL;2;2
JARDIM DAS FIGUEIRAS;2;2
JARDIM REMANSO CAMPINEIRO;2;2
JARDIM NOVA HORTOLANDIA I;2;2
JARDIM NOVO ESTRELA III;2;2
JARDIM NOVA HORTOLANDIA II;2;2
PAQUE HORTOLANDIA;1;1
SAO SEBASTIAO;1;1
VILA REAL CONTINUAAO;1;1
PARQEU GABRIEL;1;1
PARQUE TERRAS DE SANTA MARI A;1;1
TERRAS SANTO ANTONIO;1;1
PARQUE VASCONCELLOS;1;1
SAO BENTO 1;1;1
PARQUE ORTOLANIDA;1;1
PARQUE BELLAVILLE;1;1
SANTO ANDRE;1;1
SANTA ESMERALDA;1;1
PARQUE PEROM;1;1
PARQUE TERRA DE SANTA MARIA;1;1
RESIDENCIAL VILA BURITI;1;1
PARQUE VASCONCELOS;1;1
RESIDENCIAL MARIA DE LOURDES;1;1
PARAISO NOVO ANGULO;1;1
ADIVENTISTA CAMPINEIRO;1;1
ORESTES ONGARO;1;1
CHACARAS REYMAR;1;1
JARDIM DO BRAZ;1;1
JARDIM DAS FIQUEIRAS II;1;1
JARDIM DAS FIGUIERAS II;1;1
JARDIM DAS FIGUEIRAS I;1;1
JARDIM DAAS FIGUEIRAS;1;1
JARDIM AUXLIADORA;1;1
JARDIM AMADA;1;1
JANTA AMELIA;1;1
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;1;1
CONDOMINIO RESIDENCIAL VILLA FLORA;1;1
CONDOMINIO RESIDENCIAL VILA FLORA;1;1
CHACARAS RECREIO ALVORADA;1;1
JARDIM LUZIA;1;1
CHACARAS RECREIO 2000;1;1
CHACARAS PANAINO;1;1
CHACARAS DE RECREIO 2000;1;1
CHACARAS ASSAHY;1;1
CHACARAS ACARAI;1;1
CHACARA RECREIO;1;1
CHACARA HAVAI;1;1
CHACARA FAZENDO COELHO;1;1
CHACARA BOA VISTA;1;1
CHACAHAS RECREIO ALVORADA;1;1
CARMEM CRISTINA;1;1
JARDIM DO LADO;1;1
JARDIM NONO ANGULO;1;1
NUCLEO RESIDENCIAL FURLA;1;1
JARDIM VILAGIO GHIRALDELLI;1;1
LOTEAMENTO NOVO ANGULO;1;1
JD NOVA AMERICA;1;1
JD MALTA;1;1
JD AMANDA;1;1
JD ALINE;1;1
JARIM NOVA EUROPA;1;1
JARIDM NOVA EUROPA;1;1
JARIDM BOA ESPERANCA;1;1
JARIDM AMANDA;1;1
JARDOM NOSSA SENHORA AUXILIADORA;1;1
JARDIMA AMANDA I;1;1
JARDIM STEFANIA;1;1
JARDIM NOSSA SENHORA AUXIDORA;1;1
JARDIM SAO SEBASTIO;1;1
JARDIM SAO BENEDITO;1;1
JARDIM SANTA CLARA DO LAGO 1;1;1
JARDIM SANTA CLARA;1;1
JARDIM SANT CLARA DO LAGO I;1;1
JARDIM RECANTO DO SOL;1;1
JARDIM NOVO HORTOLANDIA;1;1
JARDIM NOVO ANGLO;1;1
JARDIM NOVA EURPOPA;1;1
JARDIM NOVA ESTRELA II;1;1
JARDIM NOSSA SENHORAS DE LOURDES;1;1
VILAGIO GHIRALDELLI;1;1
